Name,Name (CN),Name (TW),Name (FR),Name (DE),Name (IT),Name (JP),Name (PT),Name (RU),Name (ES),Name (KO),Column 12
Terror of Kruin Pass,克廉峡惧兽,克廉峽懼獸,Terreur du Col de Kruin,Schrecken vom Kruinpass,Terrore di Passo Kruin,クルーイン峡の恐怖,Terror do Passo de Kruin,Гроза Круинского Перевала,Terror del Paso Kruin,,
Thraben Militia,瑟班民兵,瑟班民兵,Milice de Thraben,Miliz von Thraben,Milizia di Thraben,スレイベンの民兵,Milícia de Thraben,Трейбенское Ополчение,Milicia de Thraben,,
Ulvenwald Primordials,沃文森始住人,沃文森始住人,Primordiaux d'Ulvenwald,Urwesen des Ulvenwalds,Primitivi di Ulvenwald,ウルヴェンワルドの根源,Elementais de Ulvenwald,Уленвальдские Дикари,Primigenios de Ulvenwald,,
Unholy Fiend,渎圣邪鬼,瀆聖邪鬼,Fielleux impie,Unheiliger Unhold,Immonda Sacrilega,不浄の悪鬼,Demônio Profano,Нечистый Дух,Demonio impío,,
Wildblood Pack,野血狼群,野血狼群,Meute sangsauvage,Wildblutrudel,Branco del Sangue Selvaggio,野生の血の群れ,Alcateia do Sangue Selvagem,Стая Дикой Крови,Manada Sangre Salvaje,,
Archdemon of Greed,贪婪大恶魔,貪婪大惡魔,Archidémon d'avidité,Erzdämon der Gier,Arcidemone dell'Ingordigia,強欲の大悪魔,Arquidemônio da Ganância,Архидемон Алчности,Archidemonio de la avaricia,탐욕의 대악마,
Chalice of Death,死亡圣杯,死亡聖杯,Calice de la mort,Kelch des Todes,Calice della Morte,死の杯,Cálice da Morte,Чаша Смерти,Cáliz de la muerte,죽음의 성배,
Ghastly Haunting,鬼魅纠缠,鬼魅糾纏,Hantise abominable,Grausiges Spuken,Infestazione Spettrale,恐ろしい憑依,Assombração Horripilante,Кошмарное Явление,Acecho espantoso,섬뜩한 빙의,
Hinterland Scourge,内陆祸害,內陸禍害,Fléau de l'arrière-pays,Geißel des Hinterlands,Flagello dell'Entroterra,内陸の災い魔,Flagelo do Interior,Бич Глубинки,Azote del interior,내륙지의 재앙,
Krallenhorde Killer,展爪杀手,展爪殺手,Tueur Krallenhorde,Krallenhorde-Reißer,Assassino di Krallenhorde,爪の群れの殺人者,Matador de Krallenhorde,Кралленордский Убийца,Asesino Krallenhorde,크랄렌호드 살육자,
Markov’s Servant,马可夫仆从,馬可夫僕從,Servante de Markov,Markovs Dienerin,Servitrice di Markov,マルコフの召使い,Serva de Markov,Служанка Марковых,Sirvienta de Markov,마르코프의 수하,
Moonscarred Werewolf,月疤狼人,月疤狼人,Loup-garou marqué par la lune,Mondnarben-Werwolf,Mannara Sfregiata dalla Luna,月傷の狼男,Lobisomem da Cicatriz Lunar,Вервольф с Лунным Шрамом,Licántropo marca lunar,달흉터 늑대인간,
Ravager of the Fells,堕者噬兽,墮者噬獸,Ravageur de la lande,Verwüster vom Kahlenberg,Devastatore delle Colline,高原の荒廃者,Devastador da Derrubada,Опустошитель Каменистых Холмов,Devastador de las colinas,산지의 유린자,
Silverpelt Werewolf,银白狼人,銀白狼人,Loup-garou à fourrure d'argent,Silberpelz-Werwolf,Lupa Mannara Argentea,銀皮の狼男,Lobisomem da Pele Prateada,Седошкурый Вервольф,Licántropo lomo plateado,은빛가죽 늑대인간,
Tovolar’s Magehunter,托瓦拉法师猎手,托瓦拉法師獵手,Chassemage de Tovolar,Tovolars Zauberjägerin,Cacciamaghi di Tovolar,トヴォラーの魔道士狩り,Caçador de Magos de Tovolar,Товоларова Охотница на Магов,Cazamagos de Tovolar,토볼라르의 마법사냥꾼,
Unhallowed Cathar,护教军孽物,護教軍孽物,Cathare maudit,Unheiliger Katharer,Cataro Sacrilego,不浄の聖戦士,Cátaro Maldito,Неосвященный Катар,Cátaro impío,불경한 카타르,
Werewolf Ransacker,搜括狼人,搜括狼人,Saccageur loup-garou,Werwolf-Einsacker,Predone Mannaro,狼男の荒らし屋,Lobisomem Saqueador,Вервольф-Погромщик,Saqueador licántropo,늑대인간 약탈자,
Withengar Unbound,解缚威森格,解縛威森格,Withengar déchaîné,Withengar der Entfesselte,Withengar in Libertà,解き放たれたウィゼンガー,Withengar Livre,Уитенгар Раскрепощенный,Withengar liberado,해방된 위텐가르,
"Chandra, Roaring Flame",咆哮烈焰茜卓,咆哮烈焰茜卓,"Chandra, flamme rugissante","Chandra, die tobende Flamme","Chandra, Fiamma Ruggente",燃え盛る炎、チャンドラ,"Chandra, Chama Furiosa","Чандра, Ревущее Пламя","Chandra, llamarada rugiente",포효하는 불길 찬드라,
"Gideon, Battle-Forged",百战基定,百戰基定,"Gideon, forgé dans la bataille",Gideon der Kampfgestählte,"Gideon, Forgiato dalla Battaglia",歴戦の戦士、ギデオン,"Gideon, Forjado em Batalha","Гидеон, Закаленный в Битвах","Gideon, forjado en la batalla",전투로 단련된 기디온,
"Jace, Telepath Unbound",通念杰斯,通念傑斯,"Jace, télépathe libéré","Jace, der entfesselte Telepath","Jace, Telepate Libero da Vincoli",束縛なきテレパス、ジェイス,"Jace, Telepata Ilimitado","Джейс, Вольный Телепат","Jace, telépata desenfrenado",해방된 정신술사 제이스,
"Liliana, Defiant Necromancer",无畏死灵术士莉莲娜,無畏死靈術士莉蓮娜,"Liliana, nécromancienne provocatrice","Liliana, die abtrünnige Nekromagierin","Liliana, Necromante Audace",反抗する屍術師、リリアナ,"Liliana, Necromante Insolente","Лилиана, Дерзкий Некромант","Liliana, nigromante orgullosa",반항적인 사령술사 릴리아나,
"Nissa, Sage Animist",物灵智者妮莎,物靈智者妮莎,"Nissa, sage animiste","Nissa, die weise Animistin","Nissa, Saggia Animista",精霊信者の賢人、ニッサ,"Nissa, Sábia Animista","Нисса, Премудрый Анимист","Nissa, animista sabia",현명한 정령숭배자 니사,
"Avacyn, the Purifier",净罪天使艾维欣,淨罪天使艾維欣,"Avacyn, la purificatrice",Avacyn die Läuterin,"Avacyn, la Purificatrice",浄化の天使、アヴァシン,"Avacyn, a Purificadora","Авацина, Очистительница","Avacyn, la Purificadora",정화자 아바신,
Awoken Horror,觉醒惧兽,覺醒懼獸,Horreur éveillée,Erweckter Schrecken,Orrore Risvegliato,目覚めた恐怖,Horror Despertado,Пробудившийся Ужас,Horror despertado,깨어난 공포,
Insidious Mist,隐伏迷雾,隱伏迷霧,Brume insidieuse,Heimtückischer Nebel,Nebbia Insidiosa,陰湿な霧,Névoa Insidiosa,Коварный Туман,Niebla insidiosa,은밀히 퍼지는 안개,
Timber Shredder,伐林狼人,伐林狼人,Destructrice des forêts,Unterholzzerfetzerin,Trinciatronchi,森林を切り裂くもの,Tritura-lenha,Крушительница Деревьев,Trituraleña,목재 분쇄자,
Perfected Form,完美形体,完美形體,Forme perfectionnée,Vollendete Form,Forma Perfezionata,完成態,Forma Aperfeiçoada,Совершенная Форма,Forma perfeccionada,완벽한 형상,
Krallenhorde Howler,展爪嚎狼,展爪嚎狼,Hurleur Krallenhorde,Heuler der Krallenhorde,Ululatore Krallenhorde,爪の群れの咆哮者,Uivador da Krallenhorde,Кралленордский Завыватель,Aullador de Krallenhorde,크랄렌호드 포효자,
Heir to the Night,暗夜子嗣,暗夜子嗣,Héritière de la nuit,Erbin der Nacht,Erede della Notte,夜陰の後継者,Herdeira da Noite,Наследница Ночи,Heredera de la noche,밤의 계승자,
Lunarch Inquisitors,月主会审判官,月主會審判官,Inquisiteurs lunarques,Inquisitoren der Lunarchen,Inquisitori del Lunarca,月皇の審問官,Inquisidores Lunarcas,Инквизиторы Лунархов,Inquisidores lunarcas,달의 심문관,
Incited Rabble,盛怒暴民,盛怒暴民,Plèbe provoquée,Aufgewiegelter Pöbel,Marmaglia Esagitata,扇動された民衆,Plebe Agitada,Рассерженный Сброд,Muchedumbre azuzada,봉기한 대중,
Wayward Disciple,刚愎信徒,剛愎信徒,Disciple rétif,Abtrünniger Apostel,Discepolo Traviato,むら気な信奉者,Discípulo Desencaminhado,Заблудший Ученик,Discípulo obstinado,고집 센 사제,
Bearer of Overwhelming Truths,悟真客,悟真客,Porteur d'irrésistibles vérités,Überbringer dramatischer Neuigkeiten,Latore di Schiaccianti Verità,禁断の真相を知る者,Portador de Verdades Terríveis,Носитель Гнетущих Истин,Portador de verdades abrumadoras,압도적 진실의 소유자,
Unimpeded Trespasser,无阻访客,無阻訪客,Intrus sans entraves,Ungehinderter Eindringling,Intruso Inarrestabile,阻み難い侵入者,Invasor Desimpedido,Неудержимый Нарушитель,Intruso sin trabas,방해받지 않은 침입자,
Infectious Curse,流布诅咒,流布詛咒,Malédiction infectieuse,Ansteckender Fluch,Maledizione Contagiosa,感染性の呪い,Maldição Infecciosa,Заразное Проклятие,Maldición infecciosa,전염되는 저주,
Demon-Possessed Witch,着魔巫婆,著魔巫婆,Envoûteuse possédée,Dämonenbesessene Hexe,Strega Indemoniata,悪魔憑きの魔女,Bruxa Possuída por Demônios,Одержимая Демоном Ведьма,Bruja poseída,악마에 홀린 마녀,
Neck Breaker,断颈狼人,斷頸狼人,Briseur de nuques,Genickbrecher,Spezzacolli,首折り,Quebrador de Pescoços,Шеелом,Rompecuellos,말 살육자,
Branded Howler,铭印嚎狼,銘印嚎狼,Hurleur marqué au fer,Gebrandmarkter Heuler,Ululatore Marchiato,焼き印の咆哮者,Uivador Marcado,Клейменый Завыватель,Aullador marcado,낙인 찍힌 표효자,
Gatstaf Ravagers,卡兹特噬兽,卡茲特噬獸,Dévastateurs de Gatstaf,Gatztow-Verwüster,Devastatori di Gatstaf,ガツタフの荒廃者,Devastadores de Gatstaf,Гастафские Опустошители,Devastadores de Gatstaf,갓스타프 유린자,
Flameheart Werewolf,焰心狼人,焰心狼人,Loup-garou au cœur de flammes,Flammenherz-Werwölfin,Mannara Cuore di Fiamma,炎心の人狼,Lobisomem Flamicárdio,Вервольф Огненного Сердца,Licántropa entrañafulgor,화염심장 늑대인간,
Skin Shedder,蜕皮妖,蛻皮妖,Délesteur de peau,Monströser Dermasit,Mutascorza,皮膚から抜け出たもの,Troca-peles,Вылинявший,Mudapiel,껍질 탈피자,
Moonrise Intruder,满月侵兽,滿月侵獸,Intruse du lever de lune,Mondlicht-Eindringling,Intrusa della Luna Sorgente,月の出の侵入者,Intrusa do Nascer da Lua,Лунная Захватчица,Intrusa nocturna,달빛 침입자,
Ancient of the Equinox,秋分先人,秋分先人,Ancêtre de l'équinoxe,Urwesen der Tagundnachtgleiche,Antico dell'Equinozio,秋分の古きもの,Ancião do Equinócio,Старейшина Равноденствия,Ancestro del equinoccio,가을의 고대 거목,
Lambholt Butcher,羊屯屠夫,羊屯屠夫,Bouchère de Lambholt,Schlächterin von Lammholt,Macellaia di Lambholt,ラムホルトの解体者,Açougueiro de Lambholt,Ламбхольтская Душегубка,Carnicera de Lambholt,램홀트 도살자,
One of the Pack,随群狼人,隨群狼人,Membre de la meute,Mitglied des Rudels,Uno del Branco,群れの一員,Parte da Alcateia,Один из Стаи,Uno de los nuestros,무리에 속한 늑대,
Scrounged Scythe,夺来镰刀,奪來鐮刀,Faux fouineuse,Aufgelesene Sense,Falce Sottratta,拾った大鎌,Foice Afanada,Краденая Коса,Guadaña agenciadora,슬쩍 훔친 낫,
Ashmouth Blade,烬口宝刃,燼口寶刃,Lame de Cendregueule,Aschenmaul-Klinge,Lama di Fauci di Cenere,灰口の刃,Lâmina de Boca Cinzenta,Клинок Пепельной Пропасти,Acero de Bocaceniza,잿주둥이 검,
Stonewing Antagonizer,反逆石翼鬼,反逆石翼鬼,Antagoniste ailepierre,Steinschwingen-Angreifer,Avversario Alaroccia,石翼の反目者,Antagonizador Petroalado,Камнекрылый Злодей,Antagonizador alapiedra,암석날개 적대자,
Persistent Nightmare,不散梦魇,不散夢魘,Cauchemar permanent,Beständiger Albtraum,Incubo Persistente,絶え間ない悪夢,Pesadelo Persistente,Стойкий Кошмар,Pesadilla persistente,계속되는 악몽,
Werewolf of Ancient Hunger,恒饥狼人,恆飢狼人,Loup-garou de la faim ancestrale,Werwolf des uralten Hungers,Mannara dalla Fame Atavica,古き飢えの人狼,Lobisomem da Fome Ancestral,Вервольф Древнего Голода,Licántropa del hambre ancestral,굶주린 고대 늑대인간,
"Arlinn, Embraced by the Moon",月持雅琳,月持雅琳,"Arlinn, étreinte par la lune","Arlinn, Verbündete des Mondes","Arlinn, Abbracciata dalla Luna",月の抱擁、アーリン,"Arlinn, Abraçada pela Lua","Арлинн, Избранница Луны","Arlinn, Abrazada por la Luna",달이 품은 자 아를린,
"Ormendahl, Profane Prince",渎神之子欧魔达,瀆神之子歐魔達,"Ormendahl, prince des profanes","Ormendahl, Unheiliger Prinz","Ormendahl, Principe Empio",不敬の皇子、オーメンダール,"Ormendahl, Príncipe Profano","Ормендаль, Нечестивый Князь","Ormendahl, príncipe profano",신성 모독 군주 오르멘달,
Westvale Cult Leader,西行谷教领袖,西行谷教領袖,Chef de culte du Val d'Orient,Anführerin des Westtal-Kults,Caposetta della Vestvalle,ウェストヴェイル教団の指導者,Líder de Culto de Oestevale,Глава Вествальского Культа,Líder del culto de Cuenca Oeste,서쪽계곡단 단장,
Vildin-Pack Alpha,维汀群首领,維汀群首領,Alpha de la meute Vildin,Alphatier des Vildin-Rudels,Alfa del Branco Vildin,ヴィルディン群れの頭目,Alfa da Alcateia Vildin,Вожак Вильдинской Стаи,Alfa de la manada Vildin,빌딘 무리의 우두머리,
Lone Wolf of the Natterknolls,纳特丘独狼,納特丘獨狼,Loup solitaire de Montbabil,Einsamer Wolf vom Schnackhügel,Lupo Solitario dei Poggi Borbottanti,ナッターノールズの一匹狼,Lobo Solitário do Monte Rezinga,Волк-Одиночка Болтливых Холмов,Lobo solitario de Parlaloma,재잘대는 둔덕의 외로운 늑대,
Wayward Disciple,刚愎信徒,剛愎信徒,Disciple rétif,Abtrünniger Apostel,Discepolo Traviato,むら気な信奉者,Discípulo Desencaminhado,Заблудший Ученик,Discípulo obstinado,고집 센 사제,
Incited Rabble,盛怒暴民,盛怒暴民,Plèbe provoquée,Aufgewiegelter Pöbel,Marmaglia Esagitata,扇動された民衆,Plebe Agitada,Рассерженный Сброд,Muchedumbre azuzada,봉기한 대중,
"Hanweir, the Writhing Township",纠拧镇区翰威,糾擰鎮區翰威,"Hanweir, le comté grouillant","Hennweier, die schlingende Stadt","Hanweir, il Villaggio Serpeggiante",のたうつ居住区、ハンウィアー,"Hanweir, a Cidade Contorcida","Ханвир, Змеящийся Городок","Hanweir, pueblo enajenado",몸부림치는 거주지 한웨이르,
"Brisela, Voice of Nightmares",梦魇异音布瑟拉,夢魘異音布瑟拉,"Brisela, voix des cauchemars","Brisela, Stimme der Albträume","Brisela, Voce degli Incubi",悪夢の声、ブリセラ,"Brisela, Voz dos Pesadelos","Бризела, Голос Кошмаров","Brisela, Voz de las Pesadillas",악몽의 목소리 브리셀라
Chittering Host,吱响寄主,吱響寄主,Hôte bruyant,Fauchender Wust,Orda Squittente,騒がしい徒党,Hoste Chiadora,Верещащая Куча,Aglomeración chirriante,찍찍대는 숙주
It That Rides as One,齐驭独体,齊馭獨體,La chose chevauchante,"Eins, das reitet",La Cosa a Cavallo,同体騎手,Coisa Galopante,Сплетенная Воедино Тварь,Trabazón galopante,한 몸으로 달리는 그것
Final Iteration,复始完体,復始完體,Itération finale,Abschließendes Experiment,Ultima Ripetizione,繰り返しつくしたもの,Iteração Final,Заключительная Стадия,Ensayo definitivo,마지막 실험체
Grisly Anglerfish,惨怖怪鱼,慘怖怪魚,Baudroie sinistre,Gräulicher Anglerfisch,Rana Pescatrice Raccapricciante,不気味なアンコウ,Tamboril Macabro,Кошмарный Удильщик,Pez espeluznante,잔혹한 아귀
"Ulrich, Uncontested Alpha",服众首领乌力奇,服眾首領烏力奇,"Ulrich, alpha incontesté","Ulrich, unangefochtenes Alphatier","Ulrich, Alfa Incontrastato",揺るぎない頭目、ウルリッチ,"Ulrich, Alfa Incontestado","Ульрих, Неоспоримый Вожак","Ulrich, alfa sin rival",맞설 자 없는 우두머리 울리치
Aurora of Emrakul,伊莫库极光,伊莫庫極光,Aurore d'Emrakul,Emrakuls Aurora,Aurora di Emrakul,エムラクールのオーロラ,Aurora de Emrakul,Сияние Эмракул,Aurora de Emrakul,엠라쿨의 오로라
Abolisher of Bloodlines,血脉破弃体,血脈破棄體,Abolisseuse des lignées de sang,Ausmerzerin der Blutlinien,Mietitrice di Stirpi,血統の撤廃者,Abolidora de Linhagens,Упразднительница Династий,Abolidora de linajes,혈족의 척결사
Conduit of Emrakul,伊莫库唤狼,伊莫庫喚狼,Conduit d'Emrakul,Emrakulbringer,Latrice di Emrakul,エムラクールの伝導者,Condutor de Emrakul,Проводник Эмракул,Canalizador de Emrakul,엠라쿨의 사자
Dronepack Kindred,奴群族狼,奴群族狼,Frère de la meute de drones,Mitglied des Drohnenrudels,Gregario del Branco Parassita,ドローン群れの身内,Membro da Alcateia de Zangões,Собрат из Стаи Дронов,Miembro de la manada antinatural,드론무리 동족
Erupting Dreadwolf,纵焰恐狼,縱焰恐狼,Loup de l'effroi en éruption,Aufberstender Schreckenswolf,Terrore Mannaro in Escandescenza,噴出する戦慄狼,Lobo Pavoroso em Erupção,Кошмарный Огневолк,Pavor licano en erupción,폭발하는 공포늑
Fibrous Entangler,须触缠体,鬚觸纏體,Enchevêtreur fibreux,Wuchernder Verhedderer,Intrappolatrice Fibrosa,繊維質の絡み屋,Emaranhadora Fibrosa,Жилистый Опутыватель,Enmarañadora fibrosa,수염뿌리 속박꾼
Final Iteration,复始完体,復始完體,Itération finale,Abschließendes Experiment,Ultima Ripetizione,繰り返しつくしたもの,Iteração Final,Заключительная Стадия,Ensayo definitivo,마지막 실험체
Howling Chorus,惧嚎韵集,懼嚎韻集,Chœur hurlant,Heulender Chor,Coro Ululante,多重吠え,Coro Uivante,Воющий Хор,Coro de aullidos,포효하는 합창단
Ulvenwald Abomination,沃文森憎恨兽,沃文森憎恨獸,Abomination de l'Ulvenwald,Ulvenwald-Scheußlichkeit,Abominio di Ulvenwald,ウルヴェンワルドの忌まわしきもの,Abominação de Ulvenwald,Уленвальдская Мерзость,Abominación de Ulvenwald,울벤왈드 흉물
Extricator of Flesh,卸体客,卸體客,Extirpateur de chair,Befreier des Fleisches,Estirpatore di Carne,肉体からの解放者,Extirpador da Carne,Высвободитель Плоти,Libertador de la carne,살점의 해방자
Sinuous Predator,扭曲掠体,扭曲掠體,Prédateur sinueux,Groteskes Raubtier,Predatrice Contorta,しなやかな捕食者,Predador Sinuoso,Перекрученный Хищник,Depredador sinuoso,물결치는 포식자
Voracious Reader,贪餍读客,貪饜讀客,Lecteur vorace,Bücherverschlinger,Lettore Vorace,貪欲な読書家,Leitor Voraz,Ненасытный Читатель,Lector voraz,탐욕스러운 독서가
