"Bruna, Light of Alabaster",순백 편대의 현자 브루나,전설적 생물 — 천사,"비행, 경계
순백 편대의 현자 브루나가 공격하거나 방어할 때마다, 당신은 전장에 있는 마법진을 원하는 만큼 브루나에 부착할 수 있으며, 당신의 무덤 및/또는 손에서 브루나를 부여할 수 있는 마법진 카드를 원하는 만큼 브루나에게 부여된 채로 전장에 놓을 수 있다."
Builder's Blessing,건축자의 축복,부여마법,당신이 조종하는 언탭된 생물들은 +0/+2를 받는다.
Burn at the Stake,화형,집중마법,"화형을 발동하기 위한 추가비용으로, 당신이 조종하는 언탭된 생물을 원하는 만큼 탭한다.
생물 한 개 또는 플레이어 한 명을 목표로 정한다. 화형은 그 목표에게 당신이 탭한 생물의 숫자의 3배 만큼의 피해를 입힌다."
Butcher Ghoul,도살자 악귀,생물 — 좀비,"불사 #(이 생물이 죽을 때 +1/+1 카운터를 가지고 있지 않았다면, 이 생물을 +1/+1 카운터 한 개를 가진 채로 소유자의 조종하에 전장으로 되돌린다.)#"
Call to Serve,소집 명령,부여마법 — 마법진,"흑색이 아닌 생물에게 부여
부여된 생물은 +1/+2를 받고 비행 능력을 가지며, 자신의 다른 유형에 더불어 천사다."
Captain of the Mists,안개의 선장,생물 — 인간 마법사,"다른 인간 지속물이 당신의 조종하에 전장에 들어올 때마다, 안개의 선장을 언탭한다.
{1}{U}, {T}: 지속물 한 개를 목표로 정한다. 당신은 그 지속물을 탭하거나 언탭할 수 있다."
Cathars' Crusade,카타르들의 성전,부여마법,"생물이 당신의 조종하에 전장에 들어올 때마다, 당신이 조종하는 각 생물에 +1/+1 카운터 한 개를 올려놓는다."
Cathedral Sanctifier,대성당의 성역술사,생물 — 인간 성직자,"대성당의 성역술사가 전장에 들어올 때, 당신은 생명 3점을 얻는다."
Cavern of Souls,영혼의 동굴,대지,"영혼의 동굴이 전장에 들어올 때, 생물 유형 한 가지를 선택한다.
{T}: {C}를 당신의 마나풀에 담는다.
{T}: 당신의 마나풀에 원하는 색의 마나 한 개를 담는다. 이 마나는 선택한 유형의 생물 주문을 발동하는 데에만 사용할 수 있으며, 그 주문은 무효화될 수 없다."
Champion of Lambholt,램홀트의 투사,생물 — 인간 전사,"램홀트의 투사보다 공격력이 낮은 생물은 당신이 조종하는 생물을 방어할 수 없다.
다른 생물이 당신의 조종하에 전장에 들어올 때마다, 램홀트의 투사에 +1/+1 카운터 한 개를 올려놓는다."
Cloudshift,일시 증발,순간마법,당신이 조종하는 생물 한 개를 목표로 정한다. 그 생물을 추방한 후 당신의 조종하에 전장으로 되돌린다.
Commander's Authority,사령관의 권위,부여마법 — 마법진,"생물에게 부여
부여된 생물은 ""당신의 유지단 시작에, 1/1 백색 인간 생물 토큰 한 개를 전장에 놓는다""라는 능력을 가진다."
Conjurer's Closet,요술쟁이의 옷장,마법물체,"당신의 종료단 시작에, 당신이 조종하는 생물 한 개를 목표로 정한다. 당신은 그 생물을 추방한 후 당신의 조종하에 전장에 되돌릴 수 있다."
Corpse Traders,시체 장사꾼,생물 — 인간 도적,"{2}{B}, 생물 한 개를 희생한다: 상대 한 명을 목표로 정한다. 그 상대는 자신의 손을 공개한다. 당신은 그 중 한 장을 선택하고 그 플레이어는 선택된 카드를 버린다. 당신이 집중마법을 발동할 수 있는 시기에만 이 능력을 활성화할 수 있다."
Craterhoof Behemoth,분화구발굽 거대괴물,생물 — 야수,"신속
분화구발굽 거대괴물이 전장에 들어올 때, 당신이 조종하는 생물들은 턴종료까지 +X/+X를 받고 돌진 능력을 얻는다. X는 당신이 조종하는 생물의 개수다."
Crippling Chill,살인적인 냉기,순간마법,"생물을 목표로 정한다. 그 생물은 탭되며 조종자의 다음 언탭단에 언탭되지 않는다.
카드 한 장을 뽑는다."
Crypt Creeper,무덤 괴물,생물 — 좀비,무덤 괴물을 희생한다: 무덤에 있는 카드 한 장을 목표로 정한다. 그 카드를 추방한다.
Cursebreak,저주파괴,순간마법,부여마법 한 개를 목표로 정한다. 그 부여마법을 파괴한다. 당신은 생명 2점을 얻는다.
Dangerous Wager,위험한 내기,순간마법,당신의 손을 버린 후 카드 두 장을 뽑는다.
Dark Impostor,사악한 흉내꾼,생물 — 흡혈귀 암살자,"{4}{B}{B}: 생물 한 개를 목표로 정한다. 그 생물을 추방하고 사악한 흉내꾼에 +1/+1 카운터 한 개를 올려놓는다.
사악한 흉내꾼은 자신이 추방한 모든 생물 카드들의 활성화능력을 가진다."
Deadeye Navigator,예리한 눈의 항해사,생물 — 신령,"영혼결속 #(이 생물이 전장에 들어올 때, 당신은 이 생물을 짝이 없는 생물과 짝지을 수 있다. 그 생물들은 당신이 두 생물 모두를 조종하는 한 짝으로 남는다.)#
예리한 눈의 항해사와 다른 생물이 짝을 이루는 한, 두 생물 모두 “{1}{U}: 이 생물을 추방한 후 당신의 조종하에 전장으로 되돌린다”라는 능력을 갖는다."
Death Wind,죽음의 바람,순간마법,생물을 목표로 정한다. 그 생물은 턴종료까지 -X/-X를 받는다.
Defang,송곳니 뽑기,부여마법 — 마법진,"생물에게 부여
부여된 생물이 입히려고 하는 모든 피해를 방지한다."
Defy Death,죽음을 거역하다,집중마법,"당신의 무덤에 있는 생물 카드 한 장을 목표로 정한다. 그 카드를 전장으로 되돌린다. 그 생물이 천사라면, 그 생물에 +1/+1 카운터 두 개를 올려놓는다."
Demolish,철거,집중마법,마법물체나 대지 한 개를 목표로 정한다. 그 지속물을 파괴한다.
Demonic Rising,악마의 부활,부여마법,"당신의 종료단 시작에, 당신이 생물 한 개만을 조종한다면, 비행 능력을 가진 5/5 흑색 악마 생물 토큰 한 개를 전장에 놓는다."
Demonic Taskmaster,악마 감독관,생물 — 악마,"비행
당신의 유지단 시작에, 악마 감독관이 아닌 생물 한 개를 희생한다."
Demonlord of Ashmouth,애쉬마우스의 악마군주,생물 — 악마,"비행
애쉬마우스의 악마군주가 전장에 들어올 때, 당신이 다른 생물 한 개를 희생하지 않으면 애쉬마우스의 악마군주를 추방한다.
불사 #(이 생물이 죽을 때 +1/+1 카운터를 가지고 있지 않았다면, 이 생물을 +1/+1 카운터 한 개를 가진 채로 소유자의 조종하에 전장으로 되돌린다.)#"
Descendants' Path,후손의 길,부여마법,"당신의 유지단 시작에, 당신의 서고 맨 위의 카드를 공개한다. 그 카드가 당신이 조종하는 생물과 같은 유형의 생물 카드일 경우, 당신은 마나비용을 지불하지 않고 그 카드를 발동할 수 있다. 그렇지 않을 경우, 그 카드를 당신의 서고 맨 밑에 놓는다."
Descent into Madness,광기로의 타락,부여마법,"당신의 유지단 시작에, 광기로의 타락에 절망 카운터 한 개를 올려놓은 후, 각 플레이어는 자신이 조종하는 지속물 X개 및/또는 자신의 손에서 카드 X장을 추방한다. X는 광기로의 타락이 가진 절망 카운터의 개수다."
Desolate Lighthouse,황폐한 등대,대지,"{T}: {C}를 당신의 마나풀에 담는다.
{1}{U}{R}, {T}: 카드 한 장을 뽑은 후 카드 한 장을 버린다."
Devastation Tide,황폐의 물결,집중마법,"대지가 아닌 모든 지속물을 소유자의 손으로 되돌린다.
기적 {1}{U} #(당신이 이 카드를 뽑을 때, 이 카드가 당신이 이번 턴에 뽑은 첫 번째 카드라면 당신은 기적 비용을 지불하고 이 카드를 발동할 수 있다.)#"
Devout Chaplain,독실한 목사,생물 — 인간 성직자,"{T}, 당신이 조종하는 언탭된 인간 지속물 두 개를 탭한다: 마법물체나 부여마법 한 개를 목표로 정한다. 그 지속물을 추방한다."
Diregraf Escort,전장묘지 호위대,생물 — 인간 성직자,"영혼결속 #(이 생물이 전장에 들어올 때, 당신은 이 생물을 짝이 없는 생물과 짝지을 수 있다. 그 생물들은 당신이 두 생물 모두를 조종하는 한 짝으로 남는다.)#
전장묘지 호위대가 다른 생물과 짝을 이루는 한, 두 생물 모두 좀비로부터 보호 능력을 가진다."
Divine Deflection,신성한 굴절,순간마법,"생물 한 개나 플레이어 한 명을 목표로 정한다. 이 턴에 당신 및/또는 당신이 조종하는 지속물에게 입혀지려 하는 피해 X점을 방지한다. 이렇게 피해를 방지하면, 신성한 굴절은 그 목표에게 방지된 만큼의 피해를 입힌다."
Dread Slaver,공포의 노예 상인,생물 — 좀비 괴수,"공포의 노예 상인에게 이 턴에 피해를 입은 생물이 죽을 때마다, 그 생물을 당신의 조종하에 전장으로 되돌린다. 그 생물은 자신의 원래 색에 더불어 흑색이며, 자신의 원래 유형에 더불어 좀비다."
Dreadwaters,공포의 파도,집중마법,플레이어를 목표로 정한다. 그 플레이어는 자신의 서고 맨 위의 카드 X장을 무덤에 넣는다. X는 당신이 조종하는 대지의 개수다.
Driver of the Dead,망자의 운전수,생물 — 흡혈귀,"망자의 운전수가 죽을 때, 당신의 무덤에 있는 전환마나비용이 2 이하인 생물 카드 한 장을 목표로 정한다. 그 생물 카드를 전장으로 되돌린다."
Druid's Familiar,드루이드의 소환수,생물 — 곰,"영혼결속 #(이 생물이 전장에 들어올 때, 당신은 이 생물을 짝이 없는 생물과 짝지을 수 있다. 그 생물들은 당신이 두 생물 모두를 조종하는 한 짝으로 남는다.)#
드루이드의 소환수가 다른 생물과 짝을 이루는 한, 두 생물 모두 +2/+2를 받는다."
Druids' Repository,드루이드의 보관소,부여마법,"당신이 조종하는 생물이 공격할 때마다, 드루이드의 보관소에 충전 카운터 한 개를 올려놓는다.
드루이드의 보관소에서 충전 카운터 한 개를 제거한다: 당신의 마나풀에 원하는 색의 마나 한 개를 담는다."
Dual Casting,이중 발동,부여마법 — 마법진,"생물에게 부여
부여된 생물은 ""{R}, {T}: 당신이 조종하는 순간마법 또는 집중마법 주문 한 개를 목표로 정한다. 그 주문을 복사한다. 당신은 복사본의 목표를 새로 정할 수 있다""라는 능력을 가진다."
Eaten by Spiders,거미에게 먹히다,순간마법,비행 능력을 가진 생물 한 개를 목표로 정한다. 그 생물과 그 생물에게 부착된 모든 장비를 파괴한다.
Elgaud Shieldmate,엘고드 방패병,생물 — 인간 병사,"영혼결속 #(이 생물이 전장에 들어올 때, 당신은 이 생물을 짝이 없는 생물과 짝지을 수 있다. 그 생물들은 당신이 두 생물 모두를 조종하는 한 짝으로 남는다.)#
엘고드 방패병이 다른 생물과 짝을 이루는 한, 두 생물 모두 방호 능력을 가진다. &gt; #(그 생물들은 상대가 조종하는 주문이나 능력의 목표로 정해질 수 없다.)#"
Emancipation Angel,해방의 천사,생물 — 천사,"비행
해방의 천사가 전장에 들어올 때, 당신이 조종하는 지속물 한 개를 소유자의 손으로 되돌린다."
Entreat the Angels,천사에게의 탄원,집중마법,"비행 능력을 가진 4/4 백색 천사 생물 토큰 X개를 전장에 놓는다.
기적 {X}{W}{W} #(당신이 이 카드를 뽑을 때, 이 카드가 당신이 이번 턴에 뽑은 첫 번째 카드라면 당신은 기적 비용을 지불하고 이 카드를 발동할 수 있다.)#"
Essence Harvest,정수 채취,집중마법,플레이어 한 명을 목표로 정한다. 그 플레이어는 생명 X점을 잃고 당신은 생명 X점을 얻는다. X는 당신이 조종하는 생물 중 제일 공격력이 높은 생물의 공격력이다.
Evernight Shade,영원한 밤의 그림자,생물 — 그림자,"{B}: 영원한 밤의 그림자는 턴종료까지 +1/+1을 받는다.
불사 #(이 생물이 죽을 때 +1/+1 카운터를 가지고 있지 않았다면, 이 생물을 +1/+1 카운터 한 개를 가진 채로 소유자의 조종하에 전장으로 되돌린다.)#"
Exquisite Blood,탁월한 피,부여마법,"상대가 생명점을 잃을 때마다, 당신은 그만큼의 생명점을 얻는다."
Falkenrath Exterminator,팔켄라스가의 박멸자,생물 — 흡혈귀 궁수,"팔켄라스가의 박멸자가 플레이어에게 전투피해를 입힐 때마다, 팔켄라스가의 박멸자에 +1/+1 카운터 한 개를 올려놓는다.
{2}{R}: 생물 한 개를 목표로 정한다. 팔켄라스가의 박멸자는 그 생물에게 자신이 가진 +1/+1 카운터의 개수만큼의 피해를 입힌다."
Farbog Explorer,먼늪지 탐험가,생물 — 인간 정찰병,"늪잠입 #(수비플레이어가 숲을 조종하는 한, 이 생물은 방어될 수 없다.)#"
Favorable Winds,순풍,부여마법,당신이 조종하는 생물 중 비행 능력을 가진 생물들은 +1/+1을 받는다.
Fervent Cathar,열렬한 카타르,생물 — 인간 기사,"신속
열렬한 카타르가 전장에 들어올 때, 생물 한 개를 목표로 정한다. 그 생물은 이 턴에 방어할 수 없다."
Fettergeist,속박심령,생물 — 신령,"비행
당신의 유지단 시작에, 당신이 조종하는 다른 생물 한 개당 {1}를 지불하지 않으면 속박심령을 희생한다."
Fleeting Distraction,주의 분산,순간마법,"생물 한 개를 목표로 정한다. 그 생물은 턴종료까지 -1/-0을 받는다.
카드 한 장을 뽑는다."
Flowering Lumberknot,꽃핀 섶나무옹이,생물 — 인목,꽃핀 섶나무옹이는 영혼결속 능력이 있는 다른 생물과 짝을 이루지 않는 한 공격하거나 방어할 수 없다.
Forest,숲,기본 대지 — 숲,
Gallows at Willow Hill,윌로우 언덕의 교수대,마법물체,"{3}, {T}, 당신이 조종하는 언탭된 인간 지속물 세 개를 탭한다: 생물 한 개를 목표로 정한다. 그 생물을 파괴한다. 그 생물의 조종자는 비행 능력을 가진 1/1 백색 신령 생물 토큰 한 개를 전장에 놓는다."
Galvanic Alchemist,전기의 연금술사,생물 — 인간 마법사,"영혼결속 #(이 생물이 전장에 들어올 때, 당신은 이 생물을 짝이 없는 생물과 짝지을 수 있다. 그 생물들은 당신이 두 생물 모두를 조종하는 한 짝으로 남는다.)#
전기의 연금술사와 다른 생물이 짝을 이루는 한, 두 생물 모두 “{2}{U}: 이 생물을 언탭한다”라는 능력을 가진다."
Gang of Devils,악령 패거리,생물 — 악령,"악령 패거리가 죽을 때, 생물 및/또는 플레이어를 대상으로 최대 셋까지의 목표를 정한다. 악령 패거리는 그 목표들에게 당신이 배분한 대로 피해 3점을 입힌다."
Geist Snatch,심령 강탈,순간마법,생물 주문 한 개를 목표로 정한다. 그 주문을 무효화한다. 비행 능력을 가진 1/1 청색 신령 생물 토큰 한 개를 전장에 놓는다.
Geist Trappers,심령 덫사냥꾼,생물 — 인간 전사,"영혼결속 #(이 생물이 전장에 들어올 때, 당신은 이 생물을 짝이 없는 생물과 짝지을 수 있다. 그 생물들은 당신이 두 생물 모두를 조종하는 한 짝으로 남는다.)#
심령 덫사냥꾼이 다른 생물과 짝을 이루는 한, 두 생물 모두 대공 능력을 가진다."
Ghostform,유령화,집중마법,최대 두 개까지의 생물들을 목표로 정한다. 그 생물들은 이 턴에 방어될 수 없다.
Ghostly Flicker,유령의 깜박임,순간마법,"당신이 조종하는 마법물체, 생물 및/또는 대지 두 개를 목표로 정한다. 그 카드들을 추방한 후 당신의 조종하에 전장으로 되돌린다."
Ghostly Touch,유령의 손길,부여마법 — 마법진,"생물에게 부여
부여된 생물은 ""이 생물이 공격할 때마다, 지속물 한 개를 목표로 정한다. 당신은 그 지속물을 탭하거나 언탭할 수 있다""라는 능력을 가진다."
Ghoulflesh,악귀화,부여마법 — 마법진,"생물에게 부여
부여된 생물은 -1/-1을 받고, 자신의 원래 색에 더불어 흑색이며 원래 유형에 더불어 좀비다."
"Gisela, Blade of Goldnight",황금야의 칼날 기셀라,전설적 생물 — 천사,"비행, 선제공격
어떤 원천이 상대 또는 상대가 조종하는 지속물에게 피해를 입히려 한다면, 대신에 그 원천은 그 피해를 두 배로 입힌다.
어떤 원천이 당신 또는 당신이 조종하는 지속물에게 피해를 입히려 한다면, 대신에 그 피해의 반올림한 절반을 방지한다."
Gloom Surgeon,음침한 외과의,생물 — 신령,"음침한 외과의가 전투피해를 입으려고 하면, 그 피해를 방지하고 당신의 서고 맨 위에서 방지한 피해만큼의 카드를 추방한다."
Gloomwidow,어둠과부 거미,생물 — 거미,"대공
어둠과부 거미는 비행을 가진 생물만 방어할 수 있다."
Goldnight Commander,황금야 사령관,생물 — 인간 성직자 병사,"다른 생물이 당신의 조종하에 전장에 들어올 때마다, 당신이 조종하는 생물들은 턴종료까지 +1/+1을 받는다."
Goldnight Redeemer,황금야 구원자,생물 — 천사,"비행
황금야 구원자가 전장에 들어올 때, 당신은 당신이 조종하는 다른 생물 한 개당 생명 2점을 얻는다."
Grave Exchange,무덤 교환,집중마법,"플레이어 한 명과 당신의 무덤에 있는 생물 카드 한 장을 목표로 정한다. 그 생물 카드를 당신의 손으로 되돌리고, 그 플레이어는 생물 한 개를 희생한다."
Griselbrand,그리즐브랜드,전설적 생물 — 악마,"비행, 생명연결
생명 7점을 지불한다: 카드 일곱 장을 뽑는다."
Grounded,이륙 불가,부여마법 — 마법진,"생물에게 부여
부여된 생물은 비행 능력을 잃는다."
Gryff Vanguard,그리프 선봉대,생물 — 인간 기사,"비행
그리프 선봉대가 전장에 들어올 때, 카드 한 장을 뽑는다."
Guise of Fire,불타는 형상,부여마법 — 마법진,"생물에게 부여
부여된 생물은 +1/-1을 받고 가능하면 매 턴마다 공격한다."
Hanweir Lancer,한웨이르 창병,생물 — 인간 기사,"영혼결속 #(이 생물이 전장에 들어올 때, 당신은 이 생물을 짝이 없는 생물과 짝지을 수 있다. 그 생물들은 당신이 두 생물 모두를 조종하는 한 짝으로 남는다.)#
한웨이르 창병이 다른 생물과 짝을 이루는 한, 두 생물 모두 선제공격 능력을 가진다."
Harvester of Souls,영혼 수확자,생물 — 악마,"치명타
토큰이 아닌 다른 생물이 죽을 때마다, 당신은 카드 한 장을 뽑을 수 있다."
Haunted Guardian,유령 수호자,마법물체 생물 — 자동기계,"수비태세, 선제공격"
Havengul Skaab,헤이븐굴 스캅,생물 — 좀비 괴수,"헤이븐굴 스캅이 공격할 때마다, 당신이 조종하는 다른 생물 한 개를 소유자의 손으로 되돌린다."
Havengul Vampire,헤이븐굴 흡혈귀,생물 — 흡혈귀,"헤이븐굴 흡혈귀가 플레이어에게 전투피해를 입힐 때마다, 헤이븐굴 흡혈귀에 +1/+1 카운터 한 개를 올려놓는다.
다른 생물이 죽을 때마다, 헤이븐굴 흡혈귀에 +1/+1 카운터 한 개를 올려놓는다."
Heirs of Stromkirk,스트롬커크의 후예들,생물 — 흡혈귀,"위협 #(이 생물은 마법물체 생물 및/또는 자신과 색을 공유하는 생물에게만 방어될 수 있다.)# 
스트롬커크의 후예들이 플레이어에게 전투피해를 입힐 때마다, 스트롬커크의 후예들에 +1/+1 카운터 한 개를 올려놓는다."
Herald of War,전쟁의 전령,생물 — 천사,"비행
전쟁의 전령이 공격할 때마다, 전쟁의 전령에 +1/+1 카운터 한 개를 올려놓는다.
전쟁의 전령이 가진 +1/+1 카운터 한 개당, 당신이 발동하는 천사 주문과 인간 주문은 발동하는 데 {1}가 덜 든다."
Holy Justiciar,신성한 재판관,생물 — 인간 성직자,"{2}{W}, {T}: 생물 한 개를 목표로 정한다. 그 생물을 탭한다. 그 생물이 좀비라면, 그 생물을 추방한다."
Homicidal Seclusion,살인적인 은둔,부여마법,"당신이 생물 한 개만을 조종하는 한, 그 생물은 +3/+1을 받고 생명연결 능력을 가진다."
Hound of Griselbrand,그리즐브랜드의 사냥개,생물 — 사냥개 정령,"이단공격
불사 #(이 생물이 죽을 때 +1/+1 카운터를 가지고 있지 않았다면, 이 생물을 +1/+1 카운터 한 개를 가진 채로 소유자의 조종하에 전장으로 되돌린다.)#"
Howlgeist,포효심령,생물 — 늑대 신령,"포효심령보다 공격력이 낮은 생물은 포효심령을 방어할 수 없다.
불사 #(이 생물이 죽을 때 +1/+1 카운터를 가지고 있지 않았다면, 이 생물을 +1/+1 카운터 한 개를 가진 채로 소유자의 조종하에 전장으로 되돌린다.)#"
Human Frailty,인간의 나약함,순간마법,인간 생물 한 개를 목표로 정한다. 그 생물을 파괴한다.
Hunted Ghoul,쫓기는 악귀,생물 — 좀비,쫓기는 악귀는 인간을 방어할 수 없다.
Infinite Reflection,무한의 반사,부여마법 — 마법진,"생물에게 부여
무한의 반사가 생물에 부착된 채로 전장에 들어올 때, 당신이 조종하는 다른 생물 중 토큰이 아닌 생물들은 무한의 반사가 부여된 생물의 복사본이 된다.
당신의 조종하에 전장에 들어오는 생물 중 토큰이 아닌 생물들은 부여된 생물의 복사본으로 전장에 들어온다."
Into the Void,심연 속으로,집중마법,최대 두 개까지의 생물을 목표로 정한다. 그 생물들을 소유자의 손으로 되돌린다.
Island,섬,기본 대지 — 섬,
Joint Assault,협공,순간마법,"생물 한 개를 목표로 정한다. 그 생물은 턴종료까지 +2/+2를 받는다. 그 생물이 다른 생물과 짝을 이루고 있다면, 짝을 이루는 생물 역시 턴종료까지 +2/+2를 받는다."
Kessig Malcontents,케시그 불평꾼,생물 — 인간 전사,"케시그 불평꾼이 전장에 들어올 때, 플레이어 한 명을 목표로 정한다. 케시그 불평꾼은 그 플레이어에게 당신이 조종하는 인간 지속물의 개수만큼의 피해를 입힌다."
Killing Wave,살상의 파도,집중마법,"각 생물에 대해, 그 생물의 조종자는 생명 X점을 지불하거나 그 생물을 희생한다."
Kruin Striker,크루인 타격병,생물 — 인간 전사,"다른 생물이 당신의 조종하에 전장에 들어올 때마다, 크루인 타격병은 +1/+0을 받고 턴종료까지 돌진 능력을 얻는다."
Lair Delve,소굴 탐색,집중마법,당신의 서고 맨 위의 카드 두 장을 공개한다. 이 중에서 모든 생물 카드와 대지 카드를 당신의 손으로 가져가고 나머지 카드들은 당신의 서고 맨 밑에 원하는 순서로 놓는다.
Latch Seeker,걸쇠 사냥꾼,생물 — 신령,걸쇠 사냥꾼은 방어될 수 없다.
Leap of Faith,믿음의 도약,순간마법,생물 한 개를 목표로 정한다. 그 생물은 턴종료까지 비행 능력을 얻는다. 이 턴에 그 생물이 입으려고 하는 모든 피해를 방지한다.
Lightning Mauler,번개 같은 망치전사,생물 — 인간 광전사,"영혼결속 #(이 생물이 전장에 들어올 때, 당신은 이 생물을 짝이 없는 생물과 짝지을 수 있다. 그 생물들은 당신이 두 생물 모두를 조종하는 한 짝으로 남는다.)#
번개 같은 망치전사가 다른 생물과 짝을 이루는 한, 두 생물 모두 신속 능력을 가진다."
Lightning Prowess,능숙한 번개놀림,부여마법 — 마법진,"생물에게 부여
부여된 생물은 신속과 ""{T}: 생물 한 개 또는 플레이어 한 명을 목표로 정한다. 이 생물은 그 목표에게 피해 1점을 입힌다.""라는 능력을 가진다."
